5G	5991587
Adresse_MAC	82724
Advanced_Encryption_Standard	11876
Agent_conversationnel	7013
Algorithme	19
Amazon_(entreprise)	96232
Analyse_des_données	983909
Apple	63
Application-specific_integrated_circuit	183708
Apprentissage_automatique	31947
Apprentissage_par_renforcement	1102563
Architecture_orientée_services	247943
Attaque_par_déni_de_service	49742
Automation	222921
Big_data	5178283
Bitcoin	5052155
Blockchain	9248177
Border_Gateway_Protocol	89892
Botnet	223157
Calcul_distribué	764
Calcul_multipartite_sécurisé	11198853
Calculateur_quantique	26468
Carte_d'identité_électronique	1574266
Centre_de_données	536569
Chiffrement	66371
Chiffrement_homomorphe	9152351
Cinématique_temps_réel	1268437
Cloud_computing	3166139
CoAP	10591376
Code_produit_électronique	513910
Compression_de_données	14665
Contrat_intelligent	9891977
Conversation_Monitor_System	2267066
Couche_réseau	5507
Couche_transport	5508
Cryptographie	523
Cryptomonnaie	7588409
Cyberattaque	1594605
Dark_web	8395912
Data_Over_Cable_Service_Interface_Specification	145445
Datagram_Transport_Layer_Security	2448915
Debian	853
Diffusion_en_direct_sur_Internet	3164246
Docker_(logiciel)	7541907
Domain_Name_System	8085
Domain_Name_System_Security_Extensions	529549
Dorsale_Internet	198769
Dynamic_Host_Configuration_Protocol	27223
Dynamic_spectrum_management	1628146
EAP	802185
Edge_computing	11107811
Ethereum	9296828
Exploration_de_données	45796
Facebook	3252248
Facteur_d'authentification	1204021
Fog_computing	11625288
Fondation_Linux	1307560
Fournisseur_d'accès_à_Internet	1115
Gestion_des_identités_et_des_accès	10472918
Gestionnaire_de_paquets	1102291
Global_Positioning_System	1298
Global_System_for_Mobile_Communications	30607
Google	1249
GuixSD	8817036
Hyperledger	10689026
Hypertext_Transfer_Protocol	1385
IDMS	8336807
IEEE_802.11	499259
IODEF_:_Incident_Object_Description_Exchange_Format	11856824
IP_Multimedia_Subsystem	9363803
IPv6	20462
ISCSI	435992
Industrie_4.0	7303077
Institute_of_Electrical_and_Electronics_Engineers	25757
Intelligence_artificielle	1548
Interface_de_programmation	16680
Internet	792151
Internet_Engineering_Task_Force	15685
Internet_Exchange_Point	148713
Internet_Key_Exchange	2913324
Internet_Protocol	1516
Internet_des_objets	1083244
JavaScript_Object_Notation	637752
Jumeau_numérique	11569907
Kerberos_(protocole)	67043
LTE_(réseaux_mobiles)	1787902
Lac_de_données	10101420
Layer_2_Tunneling_Protocol	831184
Lightweight_Directory_Access_Protocol	27230
Linux	681356
Lisp	1716
Logiciel_malveillant	176974
MIMO_(télécommunications)	1146502
Machine_virtuelle	3795719
Malvertising	9887841
MariaDB	3956881
Matroska	69531
Matériel_libre	1263473
Microservices	9311617
Minix	8253
Modèle_OSI	1980
Monnaie_virtuelle	7036038
Moteur_de_recherche	1951
Mozilla_Public_License	104319
Multicast	3995432
Multipath_TCP	10108273
Multiprotocol_Label_Switching	288344
MySQL	7022
Nanotechnologie	1740503
Network_File_System	269116
Network_Time_Protocol	89917
Network_address_translation	26221
Oculométrie	190309
Ontologie_(informatique)	72707
OpenBSD	2252
OpenFlow	10777106
Open_Shortest_Path_First	54068
PCI_Express	29329
PHP	2350
Pair_à_pair	3196205
Peering	114679
Plan_de_contrôle	7504597
Public_Key_Cryptographic_Standards	506002
Python_(langage)	2340
Quagga_(logiciel)	3365970
RISC-V	8225313
Radio_access_network	6426470
Radio_logicielle	155615
Raisonnement_automatisé	1658170
Real-time_Transport_Protocol	165819
Reconnaissance_automatique_de_la_parole	60344
Registre_de_noms_de_domaine	72768
Remote_Authentication_Dial-In_User_Service	210224
Resource_Reservation_Protocol	416420
Rich_Internet_application	355666
Robotique	84132
Robust_Header_Compression	4009968
Réalité_augmentée	62050
Réalité_virtuelle	2930299
Réseau_de_diffusion_de_contenu	3036055
Réseau_de_télécommunications	752541
Réseau_informatique	5627
Réseau_local_virtuel	182699
Réseau_numérique_à_intégration_de_services	2593
Réseau_privé_virtuel	20460
Réseau_superposé	4732169
Secure_Real-time_Transport_Protocol	1608286
Service_par_contournement	8742287
Service_réseau	10679564
Session_Description_Protocol	9252202
Session_Initiation_Protocol	142248
Signature_numérique	2858
Smart_grid	3583171
Smartphone	187100
Software-defined_networking	6113644
Standards_d'État_dans_la_Fédération_de_Russie	6453427
Stream_Control_Transmission_Protocol	227603
Suite_des_protocoles_Internet	39041
Superordinateur	70174
Système_cyber-physique	7937460
Système_de_recommandation	3620706
Sécurité_des_systèmes_d'information	14459
Technologie_financière	8343331
Technologies_de_l'information_et_de_la_communication	14236
Traduction_automatique	7393
Traffic_shaping	4043120
Trafic_Internet	1241997
Transmission_Control_Protocol	2968
Transmission_en_mode_sans_connexion	4141757
Transmission_sans_fil	133350
Transparent_Network_Substrate	4992392
Transport_Layer_Security	14807
Tunnel_(réseau_informatique)	850562
Twitter	1695137
Télécommunications	2928
Uniform_Resource_Name	3102
Unikernel	9910450
Virtualisation	190145
Vision_par_ordinateur	228452
Visualisation_de_données	983943
Véhicule_autonome	4219014
Véhicule_connecté	9821881
Web_profond	585351
Web_sémantique	108140
WiMAX	145567
World_Wide_Web_Consortium	3190
Électronique_numérique	40117
