Adres_MAC	17790
Advanced_Encryption_Standard	57759
Agregacja_(programowanie_obiektowe)	527075
Algorytm	29
Amazon.com	597818
Analiza_danych	1116565
Apple_Inc.	230
Architektura_zorientowana_na_usługi	344430
Automatyzacja	18347
Bezpieczeństwo_teleinformatyczne	64516
Big_data	2778710
Bitcoin	2241400
Blockchain	3757186
Border_Gateway_Protocol	71263
Botnet_(bezpieczeństwo_komputerowe)	423529
Carrier_Ethernet	2946146
Centrum_danych	3168830
Chatbot	891239
Chmura_obliczeniowa	1518378
Classless_Inter-Domain_Routing	342282
Content_Delivery_Network	2820974
Czwarta_rewolucja_przemysłowa	3631892
DNSSEC	459144
DOCSIS	194222
Debian	1123
Distributed_Ledger_Technology	4223210
DoS	64855
Docker_(oprogramowanie)	3453792
Domain_Name_System	1170
Dostawca_usług_internetowych	2327
Dynamic_Host_Configuration_Protocol	23171
E-usługa	1329979
EAP	171575
Eksploracja_danych	15034
Elektronika_cyfrowa	20538
Ethereum	4235098
Facebook	722829
GSM	23987
Global_Positioning_System	10064
Google	122531
Hypertext_Transfer_Protocol	2090
IEEE_802.11	46689
IPv6	2326
ISCSI	155682
Instytut_Inżynierów_Elektryków_i_Elektroników	29777
Integrated_Services_Digital_Network	2359
Inteligentna_sieć_energetyczna	2068808
Interfejs_programowania_aplikacji	14
Internet	2306
Internet_Engineering_Task_Force	2357
Internet_Exchange_Point	263382
Internet_Key_Exchange	2591733
Internet_Research_Task_Force	199744
Internet_rzeczy	2838420
Inżynieria_kwantowa	301414
JSON	304018
Kerberos_(informatyka)	144950
Kompresja_(informatyka)	2851
Komputer_kwantowy	34968
Kontent_Over-the-top	3129093
Kryptowaluta	3073183
Layer_2_Tunneling_Protocol	266867
Lightweight_Directory_Access_Protocol	101887
Linux	3275
Linux_Foundation	793399
Lisp	1425420
Long_Term_Evolution	1448141
MINIX	21699
MariaDB	2380804
Maszyna_wirtualna	11104
Matroska	69852
Model_OSI	1522588
Model_TCP/IP	71495
Mozilla_Public_License	96695
Multicast	432981
Multiple_Input_Multiple_Output	545240
Multiprotocol_Label_Switching	689703
MySQL	3777
Nanotechnologia	4036
Network_Address_Translation	4129
Network_File_System_(protokół)	4110
Network_Time_Protocol	200416
Obliczenia_rozproszone	4427
Okulografia	268154
Ontologia_(informatyka)	1631661
OpenBSD	4226
OpenFlow	3011471
Open_Hardware	1195417
Open_Shortest_Path_First	69708
PCI_Express	91618
PHP	4641
PKCS	2808505
Peer-to-peer	4762
Peering	263335
Podpis_cyfrowy	63955
Programowalna_sieć_komputerowa	3314318
Protokół_internetowy	206013
Protokół_kryptograficzny	123806
Protokół_sterowania_transmisją	6176
Python	4548
Quagga	1233491
RADIUS	118786
Radio_programowalne	1509802
Real-time_Transport_Protocol	101206
Real_Time_Kinematic	327580
Resource_Reservation_Protocol	510119
Rich_Internet_Application	456684
Robotyka	67513
Rozpoznawanie_mowy	375027
Rozpoznawanie_obrazów	539036
Ruch_internetowy	1745498
Rzeczywistość_rozszerzona	1374922
Rzeczywistość_wirtualna	497735
Samochód_bezzałogowy	3184164
Semantic_Web	321160
Session_Description_Protocol	419663
Session_Initiation_Protocol	107871
Sieć_komputerowa	5445
Sieć_radiowa	656525
Sieć_telekomunikacyjna	6064
Smartfon	289979
Specjalizowany_układ_scalony	92288
Standard_Państwowy_w_Federacji_Rosyjskiej_(GOST)	2737345
Stream_Control_Transmission_Protocol	253652
Superkomputer	57120
System_zarządzania_pakietami	179002
System_zarządzania_tożsamością	3912530
Szary_internet	4335773
Sztuczna_inteligencja	5586
Szyfrowanie_homomorficzne	1915600
Teleinformatyka	11025
Telekomunikacja	6197
Transport_Layer_Security	207837
Tunel_(informatyka)	81377
Twitter	1179101
Tłumaczenie_automatyczne	545957
Uczenie_maszynowe	50051
Ukryta_sieć	4335775
Uniform_Resource_Name	69684
Usługa_dodana	1078617
Uwierzytelnianie	125227
Virtual_Private_Network	86460
WiMAX	92668
Wirtualizacja	1337319
Wirtualna_sieć_lokalna	68243
World_Wide_Web_Consortium	6731
Zarządzanie_tożsamością	189218
Zrobotyzowana_Automatyzacja_Procesów	4218142
Złośliwe_oprogramowanie	1270603
